Description,MinutesToMidnight,Summary,Time,Year
"The initial setting of the Doomsday Clock.",7,"Initial setting of the Doomsday Clock.",23:53,1947
"The Soviet Union tests its first atomic bomb, the RDS-1, officially starting the nuclear arms race.",3,"Soviet Union tests first atomic bomb.",23:57,1949
"The United States tests its first thermonuclear device in November 1952 as part of Operation Ivy, before the Soviet Union follows suit with the Joe 4 test in August. This remained the clock's closest approach to midnight (tied in 2018) until 2020.",2,"U.S. and Soviet Union test thermonuclear devices.",23:58,1953
"In response to a perception of increased scientific cooperation and public understanding of the dangers of nuclear weapons (as well as political actions taken to avoid 'massive retaliation'), the United States and Soviet Union cooperate and avoid direct confrontation in regional conflicts such as the 1956 Suez Crisis, the 1958 Second Taiwan Strait Crisis, and the 1958 Lebanon crisis. Scientists from various countries help establish the International Geophysical Year, a series of coordinated, worldwide scientific observations between nations allied with both the United States and the Soviet Union, and the Pugwash Conferences on Science and World Affairs, which allow Soviet and American scientists to interact.",7,"Increased scientific cooperation and nuclear danger awareness.",23:53,1960
"The United States and the Soviet Union sign the Partial Test Ban Treaty, limiting atmospheric nuclear testing.",12,"Partial Test Ban Treaty signed.",23:48,1963
"The involvement of the United States in the Vietnam War intensifies, the Indo-Pakistani War of 1965 takes place, and the Six-Day War occurs in 1967. France and China, two nations which have not signed the Partial Test Ban Treaty, acquire and test nuclear weapons (the 1960 Gerboise Bleue and the 1964 596, respectively) to assert themselves as global players in the nuclear arms race.",7,"Vietnam War intensifies; France and China test nukes.",23:53,1968
"Every nation in the world, with the notable exceptions of India, Israel, and Pakistan, signs the Nuclear Non-Proliferation Treaty.",10,"Nuclear Non-Proliferation Treaty signed.",23:50,1969
"The United States and the Soviet Union sign the first Strategic Arms Limitation Treaty (SALT I) and the Anti-Ballistic Missile (ABM) Treaty.",12,"SALT I and ABM Treaty signed.",23:48,1972
"India tests a nuclear device (Smiling Buddha), and SALT II talks stall. Both the United States and the Soviet Union modernize multiple independently targetable reentry vehicles (MIRVs).",9,"India tests nuclear device; SALT II stalls.",23:51,1974
"Unforeseeable end to deadlock in American–Soviet talks as the Soviet–Afghan War begins. As a result of the war, the U.S. Senate refuses to ratify the SALT II agreement.",7,"Soviet–Afghan War begins; SALT II not ratified.",23:53,1980
"The Soviet war in Afghanistan toughens the U.S.' nuclear posture. U.S. President Jimmy Carter withdraws the United States from the 1980 Summer Olympic Games in Moscow. The Carter administration considers ways in which the United States could win a nuclear war. Ronald Reagan becomes President of the United States, scraps further arms reduction talks with the Soviet Union, and argues that the only way to end the Cold War is to win it. Tensions between the United States and the Soviet Union contribute to the danger of nuclear annihilation as they each deploy intermediate-range missiles in Europe. The adjustment also accounts for the Iran hostage crisis, the Iran–Iraq War, China's atmospheric nuclear warhead test, the declaration of martial law in Poland, apartheid in South Africa, and human rights abuses across the world.",4,"U.S. toughens nuclear posture; Reagan scraps arms talks.",23:56,1981
"Further escalation of the tensions between the United States and the Soviet Union, with the ongoing Soviet–Afghan War intensifying the Cold War. U.S. Pershing II medium-range ballistic missile and cruise missiles are deployed in Western Europe. Ronald Reagan pushes to win the Cold War by intensifying the arms race between the superpowers. The Soviet Union and its allies (except Romania) boycott the 1984 Olympic Games in Los Angeles, as a response to the U.S.-led boycott in 1980.",3,"Cold War tensions escalate; superpowers intensify arms race.",23:57,1984
"In December 1987, the United States and the Soviet Union sign the Intermediate-Range Nuclear Forces Treaty, to eliminate intermediate-range nuclear missiles, and their relations improve.",6,"INF Treaty signed; U.S.-Soviet relations improve.",23:54,1988
"The fall of the Berlin Wall and the Iron Curtain, along with the reunification of Germany, mean that the Cold War is nearing its end.",10,"Berlin Wall falls; Cold War nears end.",23:50,1990
"The United States and Soviet Union sign the first Strategic Arms Reduction Treaty (START I), the US announces the removal of many tactical nuclear weapons in September 1991, and the Soviet Union takes similar steps, as well as announcing the complete cessation of all nuclear testing in October 1991. The Bulletin editorial, published November 26, 1991, announces that 'the 40-year-long East-West nuclear arms race is over.' One month after the Bulletin made this clock adjustment, the Soviet Union dissolves on December 26, 1991. This is the farthest from midnight the Clock has been since its inception.",17,"START I signed; Soviet Union dissolves.",23:43,1991
