"Date","AbsoluteTime","Temperature"
"2018-01-01",3723753600,-2.83
"2018-01-02",3723840000,-4.61
"2018-01-03",3723926400,-2.33
"2018-01-04",3724012800,-2.44
"2018-01-05",3724099200,-4.17
"2018-01-06",3724185600,-3.11
"2018-01-07",3724272000,-4.06
"2018-01-08",3724358400,-2.44
"2018-01-09",3724444800,4
"2018-01-10",3724531200,10.89
"2018-01-11",3724617600,11.28
"2018-01-12",3724704000,14.83
"2018-01-13",3724790400,8.72
"2018-01-14",3724876800,-1.94
"2018-01-15",3724963200,-1.83
"2018-01-16",3725049600,0.72
"2018-01-17",3725136000,7.06
"2018-01-18",3725222400,-5.72
"2018-01-19",3725308800,2.11
"2018-01-20",3725395200,5.89
"2018-01-21",3725481600,9
"2018-01-22",3725568000,12.28
"2018-01-23",3725654400,14.5
"2018-01-24",3725740800,8.17
"2018-01-25",3725827200,5
"2018-01-26",3725913600,6.94
"2018-01-27",3726000000,9.44
"2018-01-28",3726086400,9.83
"2018-01-29",3726172800,11.72
"2018-01-30",3726259200,7.67
"2018-01-31",3726345600,1.33
"2018-02-01",3726432000,6.67
"2018-02-02",3726518400,11.94
"2018-02-03",3726604800,-0.83
"2018-02-04",3726691200,3.78
"2018-02-05",3726777600,6.5
"2018-02-06",3726864000,4.56
"2018-02-07",3726950400,12.56
"2018-02-08",3727036800,9.83
"2018-02-09",3727123200,7.94
"2018-02-10",3727209600,13.06
"2018-02-11",3727296000,12.78
"2018-02-12",3727382400,17.28
"2018-02-13",3727468800,12.56
"2018-02-14",3727555200,8.39
"2018-02-15",3727641600,15.39
"2018-02-16",3727728000,19.5
"2018-02-17",3727814400,15.83
"2018-02-18",3727900800,9.72
"2018-02-19",3727987200,13.89
"2018-02-20",3728073600,12.72
"2018-02-21",3728160000,18.94
"2018-02-22",3728246400,20.39
"2018-02-23",3728332800,19.44
"2018-02-24",3728419200,17.5
"2018-02-25",3728505600,21.56
"2018-02-26",3728592000,16.5
"2018-02-27",3728678400,10.28
"2018-02-28",3728764800,12.44
"2018-03-01",3728851200,11
"2018-03-02",3728937600,12.67
"2018-03-03",3729024000,10.17
"2018-03-04",3729110400,11.06
"2018-03-05",3729196800,10.17
"2018-03-06",3729283200,13.22
"2018-03-07",3729369600,7.61
"2018-03-08",3729456000,3.61
"2018-03-09",3729542400,2.67
"2018-03-10",3729628800,9.83
"2018-03-11",3729715200,12.11
"2018-03-12",3729801600,6.39
"2018-03-13",3729888000,6.56
"2018-03-14",3729974400,7.22
"2018-03-15",3730060800,5.67
"2018-03-16",3730147200,15.11
"2018-03-17",3730233600,16.33
"2018-03-18",3730320000,18.72
"2018-03-19",3730406400,16.89
"2018-03-20",3730492800,15.17
"2018-03-21",3730579200,12
"2018-03-22",3730665600,4.44
"2018-03-23",3730752000,7.5
"2018-03-24",3730838400,12.44
"2018-03-25",3730924800,5.11
"2018-03-26",3731011200,9.56
"2018-03-27",3731097600,10.83
"2018-03-28",3731184000,10.44
"2018-03-29",3731270400,18.33
"2018-03-30",3731356800,19.78
"2018-03-31",3731443200,12.78
"2018-04-01",3731529600,15.67
"2018-04-02",3731616000,18.78
"2018-04-03",3731702400,19
"2018-04-04",3731788800,22.78
"2018-04-05",3731875200,10.56
"2018-04-06",3731961600,14
"2018-04-07",3732048000,14.78
"2018-04-08",3732134400,7.89
"2018-04-09",3732220800,10
"2018-04-10",3732307200,10.89
"2018-04-11",3732393600,15.33
"2018-04-12",3732480000,15.39
"2018-04-13",3732566400,19
"2018-04-14",3732652800,21
"2018-04-15",3732739200,22.11
"2018-04-16",3732825600,11.28
"2018-04-17",3732912000,5.56
"2018-04-18",3732998400,19.44
"2018-04-19",3733084800,23.78
"2018-04-20",3733171200,10.22
"2018-04-21",3733257600,13.89
"2018-04-22",3733344000,16.33
"2018-04-23",3733430400,15.44
"2018-04-24",3733516800,14.17
"2018-04-25",3733603200,15.83
"2018-04-26",3733689600,17.5
"2018-04-27",3733776000,14.5
"2018-04-28",3733862400,16.83
"2018-04-29",3733948800,19.94
"2018-04-30",3734035200,13.17
"2018-05-01",3734121600,19.28
"2018-05-02",3734208000,21
"2018-05-03",3734294400,22.44
"2018-05-04",3734380800,22
"2018-05-05",3734467200,24.06
"2018-05-06",3734553600,22.67
"2018-05-07",3734640000,21.28
"2018-05-08",3734726400,20.22
"2018-05-09",3734812800,21
"2018-05-10",3734899200,23.22
"2018-05-11",3734985600,20.44
"2018-05-12",3735072000,20.89
"2018-05-13",3735158400,27.22
"2018-05-14",3735244800,27.39
"2018-05-15",3735331200,27.06
"2018-05-16",3735417600,22.22
"2018-05-17",3735504000,21.11
"2018-05-18",3735590400,23.89
"2018-05-19",3735676800,21.56
"2018-05-20",3735763200,23.61
"2018-05-21",3735849600,20.39
"2018-05-22",3735936000,24.06
"2018-05-23",3736022400,23.33
"2018-05-24",3736108800,24.78
"2018-05-25",3736195200,22.39
"2018-05-26",3736281600,22.56
"2018-05-27",3736368000,25.44
"2018-05-28",3736454400,24.44
"2018-05-29",3736540800,23.06
"2018-05-30",3736627200,22.89
"2018-05-31",3736713600,23.89
"2018-06-01",3736800000,24.56
"2018-06-02",3736886400,24.56
"2018-06-03",3736972800,25.33
"2018-06-04",3737059200,26
"2018-06-05",3737145600,23.44
"2018-06-06",3737232000,23.33
"2018-06-07",3737318400,26.78
"2018-06-08",3737404800,26.94
"2018-06-09",3737491200,27.06
"2018-06-10",3737577600,27.67
"2018-06-11",3737664000,26.94
"2018-06-12",3737750400,22.17
"2018-06-13",3737836800,23.94
"2018-06-14",3737923200,27.17
"2018-06-15",3738009600,26.56
"2018-06-16",3738096000,27.56
"2018-06-17",3738182400,24.72
"2018-06-18",3738268800,24.78
"2018-06-19",3738355200,29.28
"2018-06-20",3738441600,28.61
"2018-06-21",3738528000,29.83
"2018-06-22",3738614400,24.72
"2018-06-23",3738700800,22.72
"2018-06-24",3738787200,24.28
"2018-06-25",3738873600,24.56
"2018-06-26",3738960000,21.89
"2018-06-27",3739046400,24.67
"2018-06-28",3739132800,24
"2018-06-29",3739219200,25.28
"2018-06-30",3739305600,28.22
"2018-07-01",3739392000,27.06
"2018-07-02",3739478400,27
"2018-07-03",3739564800,28.72
"2018-07-04",3739651200,27.94
"2018-07-05",3739737600,27.5
"2018-07-06",3739824000,27.67
"2018-07-07",3739910400,23.89
"2018-07-08",3739996800,23.39
"2018-07-09",3740083200,23.11
"2018-07-10",3740169600,27.89
"2018-07-11",3740256000,27.67
"2018-07-12",3740342400,28.89
"2018-07-13",3740428800,24.44
"2018-07-14",3740515200,26.56
"2018-07-15",3740601600,27.17
"2018-07-16",3740688000,26.78
"2018-07-17",3740774400,25.78
"2018-07-18",3740860800,23.78
"2018-07-19",3740947200,27.28
"2018-07-20",3741033600,25.17
"2018-07-21",3741120000,26.39
"2018-07-22",3741206400,24.44
"2018-07-23",3741292800,22.78
